original_path,duplicate_paths
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_849.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_30.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_706.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_20.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_150.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_166.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_137.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_2.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_855.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_221.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_183.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_3.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_936.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_224.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_809.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize/healthy_maize_africa_v1_real_193.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/temporal/healthy_cropdg_real_656.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/temporal/healthy_cropdg_real_693.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_17.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_69.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_837.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_876.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_58.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_88.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_4.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_899.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_799.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_800.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_133.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_134.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_146.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_98.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_675.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_972.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_772.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_773.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_44.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_707.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_790.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_791.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_671.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_760.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_31.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_717.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_812.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_813.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_821.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_822.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_704.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_77.jpg""]"
/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_151.jpg,"[""/mnt/datasets/data/corn-leaf-diseases/clean/healthy/real/Maize 1.2/healthy_maize_africa_v1.2_real_767.jpg""]"
